station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
GRC;20220101;52;22;4;849.1;0;212;6.7;4.4;10.8;35.9
GRC;20220102;45;21;21;845.4;0;123;5.8;3.2;10.6;41.7
GRC;20220103;45;20;58;840.3;0.1;18;2.6;0.2;7.3;67.9
GRC;20220104;55;19;38;829.2;1.8;135;4.8;2.6;7.8;72.1
GRC;20220105;39;19;50;827.1;0;72;-2.8;-9.6;4.7;68.7
GRC;20220106;55;19;33;834.9;0;216;-8.5;-10.4;-5.3;69.1
GRC;20220107;36;19;46;836.2;0.8;4;-7.3;-9.4;-4.1;58.1
GRC;20220108;36;20;46;832.4;3.1;25;-4.7;-7.7;-2.7;64.8
GRC;20220109;50;29;67;825.7;0.3;68;-4.3;-6.5;-1.7;73.7
GRC;20220110;58;29;42;834;0;215;-6.8;-9;-4.2;77.3
GRC;20220111;60;25;0;841.9;0;220;-6.4;-9.2;-1.3;50.6
GRC;20220112;60;23;0;847.6;0;221;-2.7;-7.2;1.6;34.5
GRC;20220113;59;21;0;851.4;0;221;0.9;-2.9;5.5;35.2
GRC;20220114;60;20;0;850.5;0;223;3;0.3;7.3;36.7
GRC;20220115;60;19;0;844.9;0;225;3.7;0.9;7.9;35.4
GRC;20220116;62;19;0;844.9;0;228;-0.3;-3.5;2.2;48.3
GRC;20220117;71;19;0;849;0;232;-3.7;-5.9;-1;54.3
GRC;20220118;65;18;0;848.5;0;241;0.6;-3.5;6.8;45
GRC;20220119;66;18;0;844.7;0.1;247;-0.7;-5;4.1;55.2
GRC;20220120;69;18;42;841;0;257;-4.7;-6.8;-1.6;86.2
GRC;20220121;75;18;42;843.3;0;255;-6.7;-8.2;-4.1;81.3
GRC;20220122;74;18;0;846.7;0;277;-4;-8;0.1;60.8
GRC;20220123;78;18;8;847.3;0;278;-0.2;-2.9;4.8;44.4
GRC;20220124;79;18;0;848;0;280;0.9;-2.1;4.8;38.6
GRC;20220125;82;18;0;849.4;0;282;1.3;-1.1;4.9;35.5
GRC;20220126;83;17;0;847.9;0;286;0;-2.2;3.8;37.7
GRC;20220127;86;17;4;847;0;295;0.2;-2.4;4.2;33.5
GRC;20220128;83;17;21;848.3;0;266;-2;-5.9;3;54.6
GRC;20220129;69;17;21;848.7;0;276;-1.7;-4.5;1.4;52.7
GRC;20220130;89;17;0;844.7;0;302;-0.9;-3.2;2.7;73.8
GRC;20220131;47;17;79;834.9;0.8;37;-2.6;-5.1;2.3;66.5
