station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
GSB;18640101;-;-;-;-;-;-;-10.5;-12;-8.2;-
GSB;18640102;-;-;-;-;-;-;-15.7;-21.4;-10.7;-
GSB;18640103;-;-;-;-;-;-;-20.3;-23.8;-16.5;-
GSB;18640104;-;-;-;-;-;-;-12.5;-13.8;-10.5;-
GSB;18640105;-;-;-;-;-;-;-12.8;-15.6;-11.1;-
GSB;18640106;-;-;-;-;-;-;-9.7;-10.8;-7.6;-
GSB;18640107;-;-;-;-;-;-;-10.1;-12.7;-8.5;-
GSB;18640108;-;-;-;-;-;-;-11;-11.4;-9.6;-
GSB;18640109;-;-;-;-;-;-;-11;-12.1;-9.4;-
GSB;18640110;-;-;-;-;-;-;-9.1;-10.1;-7.3;-
GSB;18640111;-;-;-;-;-;-;-7.3;-8.3;-5.8;-
GSB;18640112;-;-;-;-;-;-;-6.2;-7.7;-3.8;-
GSB;18640113;-;-;-;-;-;-;-5.9;-7.6;-1.9;-
GSB;18640114;-;-;-;-;-;-;-7.2;-8.5;-5.3;-
GSB;18640115;-;-;-;-;-;-;-8.6;-9.4;-7.7;-
GSB;18640116;-;-;-;-;-;-;-9.3;-10.9;-5.4;-
GSB;18640117;-;-;-;-;-;-;-7.6;-8.6;-6.2;-
GSB;18640118;-;-;-;-;-;-;-14.6;-16.8;-11.6;-
GSB;18640119;-;-;-;-;-;-;-10.8;-13.3;-7.4;-
GSB;18640120;-;-;-;-;-;-;-5.6;-9.8;-3.3;-
GSB;18640121;-;-;-;-;-;-;-3.3;-4.5;-1.3;-
GSB;18640122;-;-;-;-;-;-;-5.4;-6.5;-2.7;-
GSB;18640123;-;-;-;-;-;-;-3.8;-6.1;-1.2;-
GSB;18640124;-;-;-;-;-;-;-4.6;-6.2;-3;-
GSB;18640125;-;-;-;-;-;-;-5.2;-7.1;-3;-
GSB;18640126;-;-;-;-;-;-;-4.5;-6.4;-1.8;-
GSB;18640127;-;-;-;-;-;-;-5.1;-7.4;-1.4;-
GSB;18640128;-;-;-;-;-;-;-6.4;-10;-2.6;-
GSB;18640129;-;-;-;-;-;-;-11.1;-12;-9.2;-
GSB;18640130;-;-;-;-;-;-;-10.7;-13;-8.3;-
GSB;18640131;-;-;-;-;-;-;-11.7;-16.9;-3;-
GSB;18640201;-;-;-;-;-;-;-8.1;-10.6;-5.6;-
GSB;18640202;-;-;-;-;-;-;-8.7;-9.8;-5.6;-
GSB;18640203;-;-;-;-;-;-;-8.1;-10.6;-5;-
GSB;18640204;-;-;-;-;-;-;-9.6;-14.5;-4.8;-
GSB;18640205;-;-;-;-;-;-;-16;-16.6;-14.4;-
GSB;18640206;-;-;-;-;-;-;-13.1;-14.8;-9;-
GSB;18640207;-;-;-;-;-;-;-17;-19.6;-13.8;-
GSB;18640208;-;-;-;-;-;-;-20;-21.6;-17.4;-
GSB;18640209;-;-;-;-;-;-;-19.5;-21.6;-15;-
GSB;18640210;-;-;-;-;-;-;-18.2;-19.8;-15.9;-
GSB;18640211;-;-;-;-;-;-;-15.8;-17.5;-11.6;-
GSB;18640212;-;-;-;-;-;-;-6.5;-13;-0.5;-
GSB;18640213;-;-;-;-;-;-;1.8;-3;6.4;-
GSB;18640214;-;-;-;-;-;-;0.5;-2.2;5.3;-
GSB;18640215;-;-;-;-;-;-;0.3;-2.8;4;-
GSB;18640216;-;-;-;-;-;-;-2.2;-3.4;1.3;-
GSB;18640217;-;-;-;-;-;-;-10.4;-15.2;-4.4;-
GSB;18640218;-;-;-;-;-;-;-15.7;-16.7;-13.3;-
GSB;18640219;-;-;-;-;-;-;-17.7;-20.4;-14.7;-
GSB;18640220;-;-;-;-;-;-;-16.1;-17.5;-14.2;-
GSB;18640221;-;-;-;-;-;-;-9.8;-11.2;-7.5;-
GSB;18640222;-;-;-;-;-;-;-10.9;-12.3;-8.1;-
GSB;18640223;-;-;-;-;-;-;-5.8;-7.2;-4.3;-
GSB;18640224;-;-;-;-;-;-;-5.8;-6.4;-3.9;-
GSB;18640225;-;-;-;-;-;-;-6.5;-7.8;-4.6;-
GSB;18640226;-;-;-;-;-;-;-6.6;-8.4;-4;-
GSB;18640227;-;-;-;-;-;-;-7.5;-10.2;-5.1;-
GSB;18640228;-;-;-;-;-;-;-7.3;-8.1;-6;-
GSB;18640229;-;-;-;-;-;-;-6.3;-9;-2.8;-
GSB;18640301;-;-;-;-;-;-;-8.8;-10.1;-4.8;-
GSB;18640302;-;-;-;-;-;-;-8;-9.1;-5.8;-
GSB;18640303;-;-;-;-;-;-;-3.2;-7.6;2.8;-
GSB;18640304;-;-;-;-;-;-;-4.3;-6.6;-1.4;-
GSB;18640305;-;-;-;-;-;-;-5.3;-5.8;-3.7;-
GSB;18640306;-;-;-;-;-;-;-4.6;-6.6;-1.4;-
GSB;18640307;-;-;-;-;-;-;-3;-4.7;0.8;-
GSB;18640308;-;-;-;-;-;-;-5.5;-6.2;-4;-
GSB;18640309;-;-;-;-;-;-;-4.7;-5.8;-3;-
GSB;18640310;-;-;-;-;-;-;-7.6;-12.3;-2.2;-
GSB;18640311;-;-;-;-;-;-;-9.5;-13;-6.3;-
GSB;18640312;-;-;-;-;-;-;-6.4;-8.7;-2;-
GSB;18640313;-;-;-;-;-;-;-7.4;-10.9;-3.8;-
GSB;18640314;-;-;-;-;-;-;-3.7;-7.2;1.9;-
GSB;18640315;-;-;-;-;-;-;-0.5;-3.9;3.8;-
GSB;18640316;-;-;-;-;-;-;-3.4;-5.7;-0.2;-
GSB;18640317;-;-;-;-;-;-;-2.4;-6.8;2.7;-
GSB;18640318;-;-;-;-;-;-;-3.8;-6.4;-0.4;-
GSB;18640319;-;-;-;-;-;-;-8;-10.2;-5.1;-
GSB;18640320;-;-;-;-;-;-;-5.6;-8.1;-2.8;-
GSB;18640321;-;-;-;-;-;-;-5.7;-6;-4;-
GSB;18640322;-;-;-;-;-;-;-2.4;-5.3;3;-
GSB;18640323;-;-;-;-;-;-;-3.8;-5.7;0.2;-
GSB;18640324;-;-;-;-;-;-;-5.6;-7.1;-1.9;-
GSB;18640325;-;-;-;-;-;-;-6.3;-7;-4.2;-
GSB;18640326;-;-;-;-;-;-;-6;-8.7;-1.9;-
GSB;18640327;-;-;-;-;-;-;-7.3;-9.8;-4.9;-
GSB;18640328;-;-;-;-;-;-;-9.6;-13;-6.2;-
GSB;18640329;-;-;-;-;-;-;-12.5;-14.7;-8;-
GSB;18640330;-;-;-;-;-;-;-13.3;-14.5;-11.3;-
GSB;18640331;-;-;-;-;-;-;-11.2;-13.5;-8;-
GSB;18640401;-;-;-;-;-;-;-4.2;-9.5;1;-
GSB;18640402;-;-;-;-;-;-;-10.4;-11.3;-7;-
GSB;18640403;-;-;-;-;-;-;-8.7;-11.5;-5.8;-
GSB;18640404;-;-;-;-;-;-;-3;-5.4;2.6;-
GSB;18640405;-;-;-;-;-;-;-3.5;-4.9;-0.4;-
